x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
140,180,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980517
140,170,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980519
170,170,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980521
170,200,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980523
200,200,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-05:-86,Eng2_03F-04:-86,5,1574980525
220,200,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-05:-86,Eng2_03F-04:-86,5,1574980527
250,200,Eng2_04F-01:-77,Eng2_03F-05:-80,Eng2_03F-04:-86,Eng2_03F-02:-66,5,1574980529
270,200,Eng2_04F-01:-77,Eng2_03F-05:-80,Eng2_03F-04:-86,Eng2_03F-02:-66,5,1574980531
300,200,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-04:-75,Eng2_03F-02:-66,5,1574980533
320,200,Eng2_04F-01:-77,Eng2_03F-05:-76,Eng2_03F-04:-75,Eng2_05F-05:-75,5,1574980535
340,200,Eng2_04F-01:-77,Eng2_03F-05:-81,Eng2_03F-04:-80,Eng2_05F-05:-85,5,1574980537
370,200,Eng2_04F-01:-77,Eng2_03F-05:-81,Eng2_03F-04:-80,Eng2_05F-05:-85,5,1574980539
390,200,Eng2_04F-01:-77,Eng2_02F_A04:-74,Eng2_03F-05:-77,Eng2_03F-04:-63,5,1574980541
390,160,Eng2_04F-01:-77,Eng2_02F_A04:-74,Eng2_03F-05:-77,Eng2_03F-04:-63,5,1574980543
390,130,Eng2_04F-01:-77,Eng2_02F_A04:-74,Eng2_03F-05:-77,Eng2_03F-04:-63,5,1574980545
390,100,Eng2_04F-01:-77,Eng2_02F_A04:-73,Eng2_03F-05:-77,Eng2_03F-04:-61,5,1574980547
420,100,Eng2_04F-01:-77,Eng2_02F_A03:-87,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980549
450,100,Eng2_04F-01:-77,Eng2_02F_A03:-87,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980551
480,100,Eng2_04F-01:-77,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980553
500,100,Eng2_04F-01:-77,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980555
530,100,Eng2_04F-01:-77,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_03F-05:-83,5,1574980557
560,100,Eng2_04F-01:-77,Eng2_02F_A03:-10,Eng2_02F_A04:-70,Eng2_03F-08:-87,5,1574980559
560,120,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980561
560,150,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980563
560,170,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980565
560,200,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980567
530,200,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980569
500,200,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980571
480,200,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980573
450,200,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980575
